Target Altitude (feet),Cumulative Fuel Consumption (kg)
12000,37470.42999496489
12100,37471.60439998269
12200,37472.7787492731
12300,37473.95176170124
12400,37475.12600426422
12500,37476.30019169539
12600,37477.474324195675
12700,37478.64840196579
12800,37479.82116437153
12900,37480.99513735212
13000,37482.16891431907
13100,37483.34277951934
13200,37484.51534636342
13300,37485.689108307444
13400,37486.862816895715
13500,37488.03647232599
13600,37489.20884624169
13700,37490.38239993722
13800,37491.555901055646
13900,37492.72934979317
14000,37493.902746345375
14100,37495.0747436774
14200,37496.24804068853
14300,37497.42128608951
14400,37498.59448007522
14500,37499.7664298404
14600,37500.93952547741
14700,37502.11257026978
14800,37503.28556440985
14900,37504.4573306385
15000,37505.63022791391
15100,37506.80307510371
15200,37507.97587239889
15300,37509.14848514406
15400,37510.3200252887
15500,37511.4926781618
15600,37512.665281892
15700,37513.8378366687
15800,37515.00919964046
15900,37516.18166085167
16000,37517.35407366571
16100,37518.52643827012
16200,37519.69762685585
16300,37520.86989934
16400,37522.04199272063
16500,37523.21417037855
16600,37524.38518764617
16700,37525.55727461732
16800,37526.729314663295
16900,37527.901307969245
17000,37529.07325471945
17100,37530.24406039516
17200,37531.41591823742
17300,37532.58773006514
17400,37533.75949606127
17500,37534.93013625814
17600,37536.10168702494
17700,37537.27332052789
17800,37538.44490891709
17900,37539.61538662669
18000,37540.78370240181
18100,37541.94564340503
18200,37543.10760404526
18300,37544.2695842536
18400,37545.431583961334
18500,37546.59360309969
18600,37547.75564160041
18700,37548.918612468464
18800,37550.08068628724
18900,37551.242779273234
19000,37552.40489135831
19100,37553.56702247524
19200,37554.72917255639
19300,37555.891341534894
19400,37557.05352934354
19500,37558.215735915706
19600,37559.37796118479
19700,37560.54020508431
19800,37561.70334598821
19900,37562.86562384647
20000,37564.02792014595
20100,37565.190234820904
20200,37566.35256780561
20300,37567.51491903494
20400,37568.677288443614
20500,37569.8396759667
20600,37571.00208153941
20700,37572.164505097084
20800,37573.32694657531
20900,37574.4894059101
21000,37575.65272490767
21100,37576.81521676361
21200,37577.97772629259
21300,37579.14025343128
21400,37580.3027981164
21500,37581.465360284266
21600,37582.62793987221
21700,37583.79053681724
21800,37584.95315105694
21900,37586.11578252843
22000,37587.27843116955
22100,37588.441906366104
22200,37589.60458625388
22300,37590.76728313356
22400,37591.92999694408
22500,37593.09272762312
22600,37594.25547510975
22700,37595.41823934295
22800,37596.58102026152
22900,37597.743817804614
23000,37598.90663191183
23100,37600.06946252252
23200,37601.23308761701
23300,37602.39594823881
23400,37603.55882519159
23500,37604.72171841613
23600,37605.88462785234
23700,37607.04755344101
23800,37608.210495122854
23900,37609.37345283845
24000,37610.53642652934
